shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10385,45.392922,-74.037032,150037,36.872
10385,45.392989,-74.037188,150038,36.886
10385,45.393068,-74.037372,150039,36.903
10385,45.393192,-74.037653,150040,36.929
10385,45.394336,-74.040188,150041,37.165
10385,45.396679,-74.045400,150042,37.649
10385,45.397245,-74.046658,150043,37.766
10385,45.399002,-74.050544,150044,38.128
10386,45.473765,-73.603092,10001,0.000
10386,45.473553,-73.603476,10002,0.038
10386,45.472839,-73.604805,10003,0.169
10386,45.472284,-73.605869,10004,0.273
10386,45.470282,-73.609737,10005,0.648
10386,45.468999,-73.612200,10006,0.888
10386,45.467940,-73.614231,10007,1.086
10386,45.466317,-73.617375,10008,1.391
10386,45.465334,-73.619279,10009,1.576
10386,45.465083,-73.619762,10010,1.623
10386,45.464273,-73.621310,10011,1.774
10386,45.463165,-73.623427,10012,1.980
10386,45.462221,-73.625247,10013,2.157
10386,45.460601,-73.628366,10014,2.460
10386,45.459891,-73.629727,10015,2.593
10386,45.457834,-73.633681,10016,2.977
10386,45.457047,-73.635202,10017,3.125
10386,45.456598,-73.636068,10018,3.209
10386,45.455697,-73.637805,10019,3.378
10386,45.455643,-73.637919,10020,3.389
10386,45.455347,-73.638568,10021,3.449
10386,45.455192,-73.638871,10022,3.479
10386,45.455061,-73.639189,10023,3.507
10386,45.454916,-73.639508,10024,3.537
10386,45.454667,-73.640048,10025,3.588
10386,45.454610,-73.640155,10026,3.598
10386,45.454534,-73.640298,10027,3.612
10386,45.453743,-73.641821,10028,3.760
10386,45.453668,-73.641727,20001,3.760
10386,45.453137,-73.642743,20002,3.859
10386,45.452659,-73.643661,20003,3.949
10386,45.452183,-73.644582,20004,4.038
10386,45.451947,-73.645056,20005,4.083
10386,45.451903,-73.645152,20006,4.093
10386,45.451774,-73.645452,20007,4.120
10386,45.451601,-73.645898,20008,4.160
10386,45.451446,-73.646357,20009,4.200
10386,45.451414,-73.646455,20010,4.208
10386,45.451307,-73.646840,20011,4.240
10386,45.451259,-73.647021,20012,4.256
10386,45.451188,-73.647326,20013,4.281
10386,45.451112,-73.647665,20014,4.309
